"CCSBT Registration Number","Vessel Group","Vessel Name","Flag","Authorising Entity","Callsign","Vessel Registration Number","IMO","Tonnage","Vessel Type","Gear Type","Authorisation From","Authorisation To"
"FV05387","Fishing","KARINA B","New Zealand","New Zealand","ZMA4672","901049","","100.0","Multipurpose vessels","Longline,Troll","01/01/2016","31/12/2016"
"FV03961","Fishing","KATRINA","New Zealand","New Zealand","ZM3228","9215","","29.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV00641","Fishing","KATSUEI MARU 78","Japan","Japan","JNOR","1287","9004293","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00643","Fishing","KATSUEI MARU 88","Japan","Japan","JDXT","1288","9172973","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00043","Fishing","KIEN CHANG 33","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH2978","CT6-0978","8749535","430.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV04461","Fishing","KINEI MARU 158","Japan","Japan","7JCB","1021","9488231","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00256","Fishing","KINEI MARU 53","Japan","Japan","JBAS","1015","9189031","469.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00258","Fishing","KINEI MARU 81","Japan","Japan","JBAD","1014","9125322","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00537","Fishing","KINEI MARU 85","Japan","Japan","JPUQ","1017","9287364","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV04367","Fishing","KINGFISH 1","Australia","Australia","UNKNOWN","O619","","0.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV03981","Fishing","KINGFISHER","New Zealand","New Zealand","ZM3820","9363","","55.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV00653","Fishing","KINSAI MARU 68","Japan","Japan","JDXV","1296","9185358","396.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV04344","Fishing","KOBUS","New Zealand","New Zealand","ZME2185","900869","","169.0","Multipurpose vessels","Unspecified Method","01/01/2016","31/12/2016"
"FV00639","Fishing","KOEI MARU 1","Japan","Japan","JIQG","1272","9258064","399.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00669","Fishing","KOEI MARU 88","Japan","Japan","JDNP","1274","9128714","395.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV03217","Fishing","KORU II","New Zealand","New Zealand","ZMA3668","66139","","30.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV00211","Fishing","KOSHIN MARU 7","Japan","Japan","JLVW","1047","9073397","435.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00530","Fishing","KOTOSHIRO MARU 18","Japan","Japan","JKEB","1200","8909616","393.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00529","Fishing","KOTOSHIRO MARU 58","Japan","Japan","JIOU","1201","8821187","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV05872","Fishing","KOVA","Korea, Republic of","Korea, Republic of","6KCC3","1303001-6261107","8415835","440.0","Longliners","Longline","12/03/2013","11/03/2018"
"FV00305","Fishing","KOYO MARU 1","Japan","Japan","JQMW","1071","9047984","390.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00467","Fishing","KOYO MARU 6","Japan","Japan","JRRD","1181","9004384","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV05306","Fishing","KUANG LI","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3221","CT6-1221","8653061","462.0","Longliners","Longline","01/04/2015","30/09/2016"
"FV06251","Fishing","KUANG YING","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3145","CT6-1145","8648420","315.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV02516","Fishing","LADY HAMILTON","New Zealand","New Zealand","ZM6955","5861","","51.0","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV02254","Fishing","LADY RUTH","New Zealand","New Zealand","ZM4855","2077","","45.3","Multipurpose vessels","Multiple Gear Types","01/01/2016","31/12/2016"
"FV04368","Fishing","LASTOVO S","Australia","Australia","UNKNOWN","O830","","58.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV06326","Fishing","LI HSIANG","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3467","CT6-1467","9802944","298.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00089","Fishing","LIAN HORNG 67","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3339","CT6-1339","8749133","496.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00133","Fishing","LIAN HORNG 777","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2547","CT7-0547","8947383","531.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06080","Fishing","LIEN CHING YU 127","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3229","CT6-1229","8674833","424.0","Longliners","Longline","01/04/2015","30/09/2016"
"FV01434","Fishing","LUCKY S","Australia","Australia","UNKNOWN","LTB","8120363","174.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV04370","Fishing","LUKINA","Australia","Australia","UNKNOWN","P19","9240237","127.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV04655","Fishing","LUKINA I","Australia","Australia","VHS6277","O561","8416827","634.0","Purse seiners","Purse Seine","07/01/2016","30/11/2016"
"FV05750","Fishing","MAGUS","New Zealand","New Zealand","ZMW4843","901128","","93.0","Longliners","Unspecified Method","01/01/2016","31/12/2016"
"FV04560","Fishing","MAICOA TRES","Spain","Spain","ECBL","UNKNOWN","9249946","383.4","Longliners","Longline","01/01/2016","31/12/2017"
"FV06013","Fishing","MAINSTREAM","New Zealand","New Zealand","ZMAK","62914","","4 407.0","Trawlers","Mid-water Trawl","01/01/2016","31/12/2016"
"FV04023","Fishing","MAKYBE BJ","Australia","Australia","UNKNOWN","O630","NONE","310.0","Purse seiners","Purse Seine","15/01/2016","30/11/2016"
"FV05873","Fishing","MAN AN","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BG3725","CT5-1725","8672926","198.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV04563","Fishing","MAR ARAL","Spain","Spain","EAQJ","UNKNOWN","9297644","346.5","Longliners","Longline","01/01/2016","31/12/2017"
"FV04522","Fishing","MAR DE JAVA","Portugal","Portugal","CUIB6","V-26-N","","399.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV04565","Fishing","MAR DO ROSTRO","Spain","Spain","ECLV","UNKNOWN","9486063","264.0","Longliners","Longline","01/01/2016","31/12/2017"
"FV04523","Fishing","MAR LARGO","Portugal","Portugal","CUOA","PE-2078-N","","332.0","Longliners","Longline","08/04/2010","31/12/2020"
"FV04505","Fishing","MAR PORTUGUÊS","Portugal","Portugal","CUHB9","PE-2191-C","","225.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV04566","Fishing","MARAL","Spain","Spain","EFGQ","UNKNOWN","8812083","142.1","Longliners","Longline","01/01/2016","31/12/2017"
"FV03385","Fishing","MAREWA","New Zealand","New Zealand","ZMNH","8260","","26.0","Longliners","Longline","01/01/2016","31/12/2016"
"FV01440","Fishing","MARIA LUISA","Australia","Australia","UNKNOWN","W1J","7328970","390.0","Multipurpose vessels","Purse Seine","01/12/2015","30/11/2016"
"FV04506","Fishing","MARIA TEIXEIRA","Portugal","Portugal","CULV","A-3543-C","","196.8","Longliners","Longline","01/01/2008","31/12/2020"
"FV04439","Fishing","MARKANE","Australia","Australia","UNKNOWN","M153","9302396","328.0","Multipurpose vessels","Unspecified Method","01/12/2015","30/11/2016"
"FV00741","Fishing","MATARIKI II","New Zealand","New Zealand","ZM2579","32723","","295.0","Purse seiners","Purse Seine","01/01/2016","31/12/2016"
"FV00684","Fishing","MATSUEI MARU 2","Japan","Japan","JHGQ","1280","8614998","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00681","Fishing","MATSUEI MARU 28","Japan","Japan","JDYA","1283","9185724","439.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00686","Fishing","MATSUEI MARU 3","Japan","Japan","JNQB","1282","9020792","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00683","Fishing","MATSUEI MARU 5","Japan","Japan","JMNK","1281","9041708","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00636","Fishing","MATSUFUKU MARU 18","Japan","Japan","JDPC","1303","9201097","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00649","Fishing","MATSUFUKU MARU 28","Japan","Japan","7KYG","1302","8820511","453.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00056","Fishing","MENG FA 312","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3038","CT6-1038","8648767","394.9","Longliners","Longline","01/04/2015","30/09/2016"
"FV05469","Fishing","MENG FA 316","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2587","CT7-0587","8961494","625.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00057","Fishing","MENG FA 322","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3039","CT6-1039","8648779","394.9","Longliners","Longline","01/04/2015","30/09/2016"
"FV06295","Fishing","MERIDIAN 1","New Zealand","New Zealand","ZMPR","62858","8838520","4 407.0","Trawlers","Mid-water Trawl,Troll,Unspecified Trawl","01/01/2016","31/12/2016"
"FV04371","Fishing","MICHELLE","Australia","Australia","VHS2473","P26","","100.0","Multipurpose vessels","Unspecified Method","05/02/2016","30/11/2016"
"FV04524","Fishing","MIGUEL SANTOS","Portugal","Portugal","CUMD","PE-2081-N","","332.0","Longliners","Longline","01/01/2008","31/12/2020"
"FV06132","Fishing","MITRA JAYA BERSAMA - I","Indonesia","Indonesia","YEB. 4438","16 NO. 93/BB","","16.0","Longliners","Longline","02/09/2015","11/09/2016"
