Flag,Vessel_type,Vessel_name,Vessel_id,Callsign,Flag_registration_num,Weight_gross,Length,Start_date,End_date
Philippines,Single Purse Seine,DOLORES 829,33839,DUL-6374,12-00000102,683.94,55.37,25-Jul-11,24-Jul-12
Philippines,Single Purse Seine,DOLORES 24,33842,DUL6034,DAV4000835,88,30.28,25-Jul-11,24-Jul-12
Philippines,Fish Carrier,MARIA ERLINDA,33924,DUPZ6,MNLD0010220,976.37,81.62,5-Sep-11,4-Sep-12
Philippines,Single Purse Seine,DOLORES 831,33998,DUL6470,12-0000194,1070.6,64.7,27-Jul-11,26-Jul-12
Philippines,Single Purse Seine,DOLORES 832,33999,DUL6521,120000178,1013,56.25,29-Aug-11,28-Aug-12
Philippines,Fish Carrier,GLAXINIA 888,34021,DUA2843,MNLD010177,1664,76,6-Oct-11,5-Oct-12
Philippines,Bunker,ZINNIA 2,34048,DXNA,00-0000374,491,54.4,25-Jan-12,24-Jan-13
Philippines,Fish Carrier,PRIM ROSE 888,34062,DUOZ2,MNLD010198,2987,97.15,1-Aug-11,31-Jul-12
Philippines,Mothership,SAN ANDRES 179,34246,DYUV,12-0001658,499.01,73.72,19-Aug-11,18-Aug-12
Philippines,Fish Carrier,DOLLY 889,34346,DUL-6502,12-0000780,2633,90.85,25-Jul-11,24-Jul-12
Philippines,Fish Carrier,WOOD ROSE,34399,DUA4025,MNLD011135,243.96,45.7,10-Jan-12,9-Jan-13
Philippines,Single Purse Seine,GARDENIA,34412,DUL6827,COT9001977,498.67,56.25,18-Nov-11,17-Nov-12
Philippines,Single Purse Seine,YELLOW BELL 2,34456,DUA6358,MNLD000921,147.64,37.15,23-Nov-11,22-Nov-12
Philippines,Single Purse Seine,DOLORES 834,34542,DUL6710,DAV4006509,822.11,56,25-Jul-11,24-Jul-12
Philippines,Single Purse Seine,MONALINDA 72,34590,DUA-6162,MNLD003242,499.84,61.5,9-Aug-11,8-Aug-12
Philippines,Fish Carrier,MONALINDA 92,34593,DUA2587,MNLD004293,895.9,75.3,15-Aug-11,14-Aug-12
Philippines,Mothership,DOLLY 152,34660,DUL-6633,12-0001371,131.86,37,25-Jul-11,24-Jul-12
Philippines,Single Purse Seine,DOLORES 838,34687,DUL-6785,12-0000179,1382,70.12,23-May-11,22-May-12
Philippines,Fish Carrier,GLADIOLUS 2,34750,DXRA,MNLD002542,477.73,55.69,11-Aug-11,10-Aug-12
Philippines,Single Purse Seine,SAGARA BABYLYN,34832,DUSZ4,MNLD0102271,498.48,81.4,5-Sep-11,4-Sep-12
Philippines,Longline,PURPLE BEAUTY,35056,DUA-6085,MNLD000446,433.21,49.72,1-Aug-11,31-Jul-12
Philippines,Single Purse Seine,DOLLY 777,35294,DUL-6397,12-0000193,1584.14,86.4,25-Jul-11,24-Jul-12
Philippines,Single Purse Seine,ORCHIDS 888,35300,DUL6383,120000940,699.63,57.6,10-Jan-12,9-Jan-13
Philippines,Single Purse Seine,MISTLETOE 888,35301,DUL6384,DAV4000003,480.51,51.06,23-Nov-11,22-Nov-12
Philippines,Single Purse Seine,DOLLY 18,35430,DUM-6136,COT9001722,214.37,35.4,25-Jul-11,24-Jul-12
Philippines,Fish Carrier,TANGERINE 88,35443,DUA-6538,COT9002351,1792,83.7,1-Aug-11,31-Jul-12
Philippines,Single Purse Seine,RESTY B.T.,35570,DUTN7,BAT008066,594.27,66.9,10-Aug-11,9-Aug-12
Philippines,Single Purse Seine,MARTINA MARIE,35685,DUTN9,BATM008065,484.68,57.3,5-Sep-11,4-Sep-12
Philippines,Fish Carrier,SILVER BELL 2,35707,DUA6539,MNLD002927,253.96,42,4-Aug-11,3-Aug-12
Philippines,Fish Carrier,ROY 2,35709,DUL-6451,12-0000162,87.49,29.4,6-Aug-11,5-Aug-12
